document_id_a,document_id_b,relation,confidence,evidence_note
springer:10.1134_S1064229319040021,pochvovedenie:Pochved1904002AlekseevI,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=389–399; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040033,pochvovedenie:Pochved1904003AlekseevII,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=464–474; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040045,pochvovedenie:Pochved1904004Balyuk,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=475–488; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040057,pochvovedenie:Pochved1904005Fedotov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=489–496; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040070,pochvovedenie:Pochved1904007Gabbasova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=412–421; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040082,pochvovedenie:Pochved1904008Gyninova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=451–463; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040094,pochvovedenie:Pochved1904009Kashin,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=400–411; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040100,pochvovedenie:Pochved1904010Prokopenko,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=6, pages=734–742; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040112,pochvovedenie:Pochved1904011Pukalchik,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=507–514; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319040124,pochvovedenie:Pochved1904012Saakyan,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=4, pages=497–506; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
