doi,publication_year,title,journal,authors,metadata_source
10.1134/S1064229322110114,2022,The Analysis of Soil and Environmental Conditions in the Late Neolithic Settlements of the Lower Volga Region,Eurasian Soil Science,Ovchinnikov A. Yu.; Vybornov A. A.; Kulkova M. A.; Makshanov A. M.; Khudyakov O. I.,Crossref REST API
10.1134/S1064229322601640,2023,Changes in Enzyme Activity in Postpyrogenic Soils (Physical Model Experiment),Eurasian Soil Science,Prikhodko V. D.; Kazeev K. Sh.; Vilkova V. V.; Nizhelskiy M. S.; Kolesnikov S. I.,Crossref REST API
10.1134/S106422932260169X,2023,Gypsiferous Gazha Soils of the Subboreal Zone of Eurasia,Eurasian Soil Science,Yamnova I. A.; Chernousenko G. I.,Crossref REST API
10.1134/S1064229322601767,2023,"Permafrost-Affected Soils of the Alazeya River Basin: Properties, Mineralogy, and Classification",Eurasian Soil Science,Desyatkin R. V.; Lessovaia S. N.; Okoneshnikova M. V.; Ivanova A. Z.; Platonova N. V.,Crossref REST API
10.1134/S1064229322601950,2023,Effect of Fresh Organic Matter of Straw on Microbiological Parameters of Soddy-Podzolic Soil,Eurasian Soil Science,Nikitin D. A.; Semenov M. V.; Ksenofontova N. A.; Tkhakakhova A. K.; Rusakova I. V.; Lukin S. M.,Crossref REST API
10.1134/S1064229322602530,2023,Influence of Moisture on the CO2 Flux from Palsa Mire Soils in the North of Western Siberia,Eurasian Soil Science,Matyshak G. V.; Chuvanov S. V.; Goncharova O. Yu.; Trifonova V. A.; Timofeeva M. V.; Isaeva A. V.; Tarkhov M. O.,Crossref REST API
10.1134/S1064229322602578,2023,"Soils of the Ray-Iz Massif, Polar Urals",Eurasian Soil Science,Zhangurov E. V.; Korolev M. A.; Dubrovskiy Y. A.; Shamrikova E. V.,Crossref REST API
10.1134/S1064229322700053,2022,Changes in Salt Composition of Soils under Irrigation with Brackish Water in the Steppe Crimea,Eurasian Soil Science,Klimenko O. E.; Yevtushenko A. P.; Klimenko N. I.,Crossref REST API
10.1134/S1064229323600070,2023,Microbiological Parameters of Soddy-Podzolic Soil and Its Rhizosphere in a Half-Century Field Experiment with Different Fertilizer Systems,Eurasian Soil Science,Semenov M. V.; Ksenofontova N. A.; Nikitin D. A.; Tkhakakhova A. K.; Lukin S. M.,Crossref REST API
10.1134/S1064229323600082,2023,Biotechnological Potential of Hydrolytic Prokaryotic Component in Soils,Eurasian Soil Science,Manucharova N. A.; Kovalenko M. A.; Alekseeva M. G.; Babenko A. D.; Stepanov A. L.,Crossref REST API
10.1134/S1064229323600094,2023,Evaluation of Chitinolytic and Antibiotic Activity of Streptomyces avidinii Ina 01467 and Micromonospora aurantiaca INA 01468,Eurasian Soil Science,Teregulova G. A.; Sineva O. N.; Markelova N. N.; Sadikova V. S.; Uvarov G. V.; Kovalenko M. A.; Manucharova N. A.,Crossref REST API
